claim_id,claim,page_section,source_ids,source_class,confidence,status,allowed_wording,prohibited_wording,variant_or_school,region_policy,verification_notes
C001,"Wu Xing is commonly translated as Five Phases, Five Processes, Five Movements or Five Elements depending on context.",Orientation,"S006,S007",secondary+primary,4,VERIFIED,"Use Five Phases as the house term and name other translations as variants.","Five Elements is simply wrong in every context.",translation variant,CN_SIMPLIFIED,"IEP explicitly discusses contextual translation choices."
C002,"Classical correspondence texts associate Wood with the Liver, Fire with the Heart, Earth with the Spleen, Metal with the Lungs and Water with the Kidneys.",Correspondence matrix,"S003,S005,S009",primary+secondary,5,VERIFIED,"In classical correspondence systems...","These phases cause or diagnose disease in those anatomical organs.",classical correspondence,CN_SIMPLIFIED,"Convergent classical passage and scholarly table."
C003,"Common later teaching tables pair Liver/Gallbladder, Heart/Small Intestine, Spleen/Stomach, Lung/Large Intestine and Kidney/Bladder.",Correspondence matrix,"S004,S009",primary+secondary,4,VERIFIED,"A widely used zang-fu teaching table pairs...","These pairs are scientifically proven physiological axes.",later teaching synthesis,CN_SIMPLIFIED,"Pairing table is a system description, not biomedical validation."
C004,"The same classical passage associates Wood/east/anger, Fire/south/joy, Earth/center/thoughtfulness, Metal/west/sorrow and Water/north/fear.",Correspondence matrix,"S003,S005",primary,5,VERIFIED,"The passage places these terms in one correlative series.","Anger damages the liver in the modern biomedical sense.",classical textual layer,CN_SIMPLIFIED,"Use descriptive correspondence, not causal health language."
C005,"Spring, summer, autumn and winter are commonly paired with Wood, Fire, Metal and Water.",Correspondence matrix,"S009",secondary,4,VERIFIED,"Common teaching tables associate...","Every historical lineage uses one identical seasonal table.",common teaching table,CN_SIMPLIFIED,"Season wording is not uniform across all sources."
C006,"Earth is variously presented as center, late summer or transitional periods between seasons.",Variants,"S003,S009",primary+secondary,3,CONTEXTUAL_VARIANT,"Earth is often taught as center and, in some later systems, late summer or seasonal transition.","Earth definitively equals one universal fifth season.",lineage/textual variant,CN_SIMPLIFIED,"Classical source says center; modern table may leave season blank or use late summer."
C007,"Zang and fu are historical functional categories and should not be equated one-to-one with modern biomedical organs.",Safety boundary,"S004,S005,S007,S008",primary+institutional,5,VERIFIED,"Traditional organ names organize functions and relations within their own textual system.","TCM Liver equals the anatomical liver plus the HPA axis/microbiome.",epistemic boundary,CN_SIMPLIFIED,"Central safety rule."
C008,"Emotion terms are labels in a correlative taxonomy, not personality tests or evidence that an emotion causes organ disease.",Emotion section,"S003,S008",primary+institutional,5,VERIFIED,"Read the words as historical correspondence terms.","Fear means kidney weakness; anger proves liver imbalance.",interpretive safety,CN_SIMPLIFIED,"No self-assessment or diagnosis."
C009,"The Huangdi Neijing is a composite textual tradition formed over a long period.",Historical layers,"S005",secondary scholarly,5,VERIFIED,"The received work developed across multiple historical layers.","The entire text was written at one date by one historical author.",text history,CN_SIMPLIFIED,"UC Press describes formation from approximately 2nd century BCE to 8th century CE."
C010,"WHO published a 453-page international TCM terminology standard in 2022.",Sources,"S007",primary institutional,5,VERIFIED,"WHO's 2022 terminology standard is used for naming consistency.","WHO endorsement proves treatment efficacy.",terminology standard,CN_SIMPLIFIED,"Dynamic publication details verified online on 2026-07-19."
C011,"The page is educational and excludes diagnosis, treatment, prevention, dosage and efficacy claims.",Safety boundary,"S001,S008",project+institutional,5,VERIFIED,"This guide explains a historical model and is not health guidance.","Use this table to identify your condition or choose treatment.",project safety rule,CN_SIMPLIFIED,"Required by BZG-33."
C012,"Bazodiac is linked only as a BaZi chart calculation, not as a health service.",CTA,"S001",primary project record,5,VERIFIED,"Calculate a BaZi chart; this is not a health assessment.","Discover your organ imbalance with Bazodiac.",project convention,CN_SIMPLIFIED,"Ticket-specific route boundary."
